track_id,track_name,lyrics
126115782,翡翠の狼,孤独の寂しさ噛み砕いて沸き立つ思いに耳を傾けて泥濘踏みつけ歩いていけ嵐の中涙流しながら翡翠の狼はまた嘆くその身に宿す美しさも知らず高めの崖を前にほら嘆く誰かの力借りりゃ楽なのにもうじき誰か友だちがくるさ口笛吹きながら夢を見ていたどこまで行くのか決めてなんかないがひたすらあなたに会いたいだけ知らない間に遠くまで来たが暖かい場所はまだ向こうか
143138314,打上花火,あの日見渡した渚を今も思い出すんだ砂の上に刻んだ言葉君の後ろ姿寄り返す波が足元をよぎり何かを攫う夕凪の中日暮れだけが通り過ぎて行くパッと光って咲いた花火を見ていたきっとまだ終わらない夏が曖昧な心を溶かして繋いだこの夜が続いて欲しかったあと何度君と同じ花火を見られるかなって笑う顔に何ができるだろうか傷つくこと喜ぶこと
72279699,ポッピンアパシー,簡単なことすらもう覚えてない今どうしようもないほど間違いでいっぱい頭の中ペンキ溢してしまったのさ明確な意志もなかったなら今感情もなにもが信用にならんここがどこかさえわからないままでいる教えてよねえ言えないまま飲み込んだ言葉の行方をさあそれはいつか血に流れては体に溶け込むのだろうかずっと目を塞いでいたずっと馬鹿馬鹿しいことばっかりやっきになって今やっと気がついたんだ
199987450,優しい人,気の毒に生まれて汚されるあの子をあなたは綺麗だと言った傍らで眺める私の瞳にはとても醜く映った噎せ返る温室の無邪気な気晴らしに付け入られるか弱い子持て余す幸せ使い分ける道徳憐れみをそっと隠した頭を撫でてただいい子だって言って
147147075,クランベリーとパンケーキ,不意に見かけたブロンズの女神のお臍に煙草擦り付けて笑う思い返せば馬鹿げている大体そんな毎日その日限りの甘い夜を抜け今じゃ彷徨う惨めなストーリーライター誰かわたしと踊りましょうなんてその気もないのにヒッピヒッピシェイクダンディダンディドンでクランベリーのジャムでも作ろうねパンケーキと一緒に食べようねほら丁寧に切り分けてヒッピヒッピシェイクダンディダンディドンで全部頬張って隠してしまえやがて熱さにも耐えかねて嗚呼きみは吐き出した
199987458,カナリヤ,ありふれた毎日が懐かしくなるほどくすぶり沈む夜に揺れる花を見つめていた人いきれの中をあなたと歩いたこと振り向きざまに笑う顔を何故か思い出したカナリヤが鳴きだす四月の末の誰もが忘れていく白いプロムナードあなたの指先が震えていることを覚えていたいと思ういいよあなたとならいいよ二度とこの場所には帰れないとしても
132630418,Peace Sign - Instrumental,
84030141,アンビリーバーズ,ヘッドライトに押し出されて僕らは歩いたハイウェイの上をこの道の先を祈っていたシャングリラを夢見ていた誰がどんなに疑おうと僕は愛してるよ君の全てをもしも神様がいたのならば僕と同じ事を言うだろう何されたって言われたっていい傷ついても平気でいられるんだだから手を取って僕らと行こうぜここではない遠くの方へ今は信じられない果てのない悲しみを太陽を見ていた地面に立ち竦んだままそれでも僕ら空を飛ぼうと
139531128,Uchiagehanabi,あの日見渡した渚を今も思い出すんだ砂の上に刻んだ言葉君の後ろ姿寄り返す波が足元をよぎり何かを攫う夕凪の中日暮れだけが通り過ぎて行くパッと光って咲いた花火を見ていたきっとまだ終わらない夏が曖昧な心を解かして繋いだこの夜が続いて欲しかった「あと何度君と同じ花火を見られるかな」って笑う顔に何ができるだろうか傷つくこと喜ぶこと繰り返す波と情動焦燥最終列車の音何度でも言葉にして君を呼ぶよ波間を選びもう一度
199987449,馬と鹿,歪んで傷だらけの春麻酔も打たずに歩いた体の奥底で響く生き足りないと強くまだ味わうさ噛み終えたガムの味冷めきれないままの心でひとつひとつなくした果てにようやく残ったものこれが愛じゃなければなんと呼ぶのか僕は知らなかった呼べよ花の名前をただ一つだけ張り裂けるくらいに鼻先が触れる呼吸が止まる痛みは消えないままでいい
128940749,ピースサイン(TV edit.),いつか僕らの上をスレスレに通りすぎていったあの飛行機を不思議なくらいに憶えてる意味もないのに何故か不甲斐なくて泣いた日の夜にただ強くなりたいと願ってたそのために必要な勇気を探し求めていた残酷な運命が定まっているとしてそれがいつの日か僕の前に現れるとしてただ一瞬この一瞬息ができるならどうでもいいと思えたその心をもう一度遠くへ行け遠くへ行けと僕の中で誰かが歌うどうしようもないほど熱烈にいつだって目を腫らした君が二度と悲しまないように笑えるそんなヒーローになるための歌
138232151,砂の惑星 ( + 初音ミク ),何もない砂場飛び交う雷鳴しょうもない音で掠れた生命今後千年草も生えない砂の惑星さこんな具合でまだ磨り減る運命どこへも行けなくて墜落衛星立ち入り禁止の札で満ちた砂の惑星さのらりくらり歩き回りたどり着いた祈り君が今も生きてるなら応えてくれ僕にイェイ今日の日はサンゴーズダウンつまり元どおりまでバイバイバイ思いついたら歩いていけ心残り残さないようにイェイ空を切るサンダーストーム鳴動響かせてはバイバイバイもう少しだけ友達でいようぜ今回はそういや今日は僕らのハッピーバースデイ思い思いの飾り付けしようぜ甘ったるいだけのケーキ囲んで歌を歌おうぜ
138232149,LOSER,いつもどおりの通り独りこんな日々もはや懲り懲りもうどこにも行けやしないのに夢見ておやすみいつでも僕らはこんな風にぼんくらな夜に飽き飽きまた踊り踊り出す明日に出会うためにさよなら歩き回ってやっとついたここはどうだ楽園か？今となっちゃもうわからない四半世紀の結果出来た青い顔のスーパースターがお腹すかしては待ってるアイムアルーザーどうせだったら遠吠えだっていいだろうもう一回もう一回行こうぜ僕らの声アイムアルーザーずっと前から聞こえてたいつかポケットに隠した声がああだのこうだの知ったもんか幸先の空は悪天候ほら窓から覗いた摩天楼
